subject_id,wave,like_sports,like_tvsports,like_exercise,like_food,like_museums,like_art,like_hiking,like_gaming,like_clubbing,like_reading,like_tv,like_theater,like_movies,like_concerts,like_music,like_shopping,like_yoga,subjective_attractiveness,subjective_sincerity,subjective_intelligence,subjective_fun,subjective_ambition,objective_attractiveness,objective_sincerity,objective_intelligence,objective_fun,objective_ambition
1,1,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,6.0,8.0,8.0,8.0,7.0,,,,,
2,1,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,7.0,5.0,8.0,10.0,3.0,,,,,
3,1,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,,,,,
4,1,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,7.0,8.0,7.0,9.0,8.0,,,,,
5,1,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,6.0,3.0,10.0,6.0,8.0,,,,,
6,1,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,,,,,
7,1,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,7.0,5.0,7.0,,,,,
8,1,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,7.0,4.0,8.0,8.0,8.0,,,,,
9,1,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,7.0,6.0,7.0,10.0,7.0,,,,,
10,1,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,10.0,9.0,,,,,
11,1,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,8.0,9.0,8.0,7.0,5.0,,,,,
12,1,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,9.0,9.0,10.0,9.0,9.0,,,,,
13,1,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,4.0,7.0,8.0,8.0,3.0,,,,,
14,1,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,9.0,9.0,9.0,9.0,9.0,,,,,
15,1,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,7.0,7.0,9.0,7.0,9.0,,,,,
16,1,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,6.0,6.0,8.0,8.0,6.0,,,,,
17,1,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,7.0,7.0,8.0,6.0,4.0,,,,,
18,1,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,6.0,8.0,8.0,6.0,9.0,,,,,
19,1,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,6.0,10.0,10.0,10.0,,,,,
20,1,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,7.0,7.0,10.0,10.0,10.0,,,,,
21,2,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0,5.0,9.0,9.0,7.0,10.0,,,,,
22,2,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,,,,,
23,2,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,5.0,8.0,7.0,6.0,8.0,,,,,
24,2,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,8.0,6.0,7.0,7.0,9.0,8.0,9.0,8.0,,,,,
25,2,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0,7.0,9.0,8.0,7.0,6.0,,,,,
26,2,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,7.0,8.0,8.0,8.0,8.0,,,,,
27,2,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,,,,,
28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,6.0,9.0,7.0,8.0,8.0,,,,,
30,2,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,7.0,8.0,8.0,9.0,8.0,,,,,
31,2,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,8.0,8.0,8.0,9.0,9.0,,,,,
32,2,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,7.0,5.0,9.0,9.0,7.0,,,,,
33,2,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,8.0,6.0,6.0,7.0,9.0,6.0,8.0,8.0,6.0,8.0,,,,,
34,2,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,,,,,
35,2,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,3.0,8.0,9.0,9.0,9.0,7.0,,,,,
36,2,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,9.0,6.0,6.0,7.0,5.0,1.0,8.0,7.0,8.0,8.0,6.0,,,,,
37,2,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,10.0,7.0,8.0,7.0,4.0,9.0,7.0,8.0,9.0,7.0,5.0,,,,,
38,2,7.0,2.0,7.0,10.0,2.0,2.0,7.0,4.0,7.0,2.0,8.0,8.0,10.0,10.0,10.0,10.0,2.0,8.0,2.0,8.0,7.0,8.0,,,,,
39,2,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,1.0,6.0,9.0,8.0,6.0,7.0,,,,,
40,2,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,5.0,8.0,8.0,10.0,4.0,2.0,3.0,10.0,9.0,8.0,5.0,,,,,
41,2,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,5.0,7.0,8.0,5.0,5.0,,,,,
42,2,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,5.0,7.0,2.0,5.0,2.0,1.0,6.0,9.0,8.0,6.0,4.0,,,,,
43,2,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,7.0,4.0,6.0,5.0,2.0,1.0,3.0,8.0,7.0,3.0,2.0,,,,,
44,2,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,3.0,8.0,1.0,6.0,8.0,7.0,9.0,9.0,8.0,9.0,,,,,
45,2,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0,7.0,8.0,8.0,6.0,7.0,,,,,
46,2,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0,7.0,8.0,7.0,5.0,7.0,,,,,
47,2,6.0,7.0,2.0,8.0,7.0,6.0,3.0,7.0,4.0,7.0,4.0,5.0,8.0,8.0,7.0,2.0,1.0,8.0,7.0,9.0,9.0,3.0,,,,,
48,2,3.0,1.0,6.0,7.0,7.0,8.0,1.0,5.0,8.0,4.0,6.0,10.0,10.0,6.0,8.0,6.0,2.0,7.0,9.0,7.0,6.0,6.0,,,,,
49,2,10.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,5.0,5.0,6.0,5.0,8.0,2.0,7.0,7.0,10.0,10.0,10.0,8.0,,,,,
50,2,10.0,10.0,3.0,8.0,5.0,3.0,4.0,3.0,10.0,5.0,6.0,8.0,10.0,7.0,10.0,6.0,2.0,8.0,9.0,10.0,9.0,8.0,,,,,
51,2,6.0,6.0,7.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,7.0,1.0,6.0,1.0,2.0,2.0,1.0,6.0,8.0,10.0,2.0,2.0,,,,,
52,2,8.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,4.0,6.0,3.0,5.0,4.0,2.0,5.0,8.0,8.0,6.0,7.0,,,,,
53,2,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,8.0,9.0,8.0,8.0,8.0,,,,,
54,2,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,8.0,9.0,8.0,8.0,8.0,,,,,
55,2,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,6.0,10.0,9.0,10.0,10.0,,,,,
56,3,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,10.0,10.0,8.0,9.0,5.0,,,,,
57,3,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,10.0,9.0,10.0,10.0,,,,,
58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,
61,3,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,7.0,10.0,10.0,7.0,7.0,,,,,
62,3,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,9.0,7.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,,,,,
63,3,5.0,3.0,8.0,6.0,9.0,8.0,5.0,1.0,2.0,10.0,1.0,8.0,9.0,4.0,5.0,6.0,2.0,6.0,8.0,8.0,9.0,7.0,,,,,
64,3,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,5.0,8.0,8.0,9.0,6.0,9.0,,,,,
65,3,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0,7.0,9.0,8.0,9.0,9.0,,,,,
66,3,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0,6.0,7.0,8.0,7.0,8.0,,,,,
67,3,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,5.0,7.0,7.0,6.0,7.0,,,,,
68,3,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,6.0,8.0,8.0,7.0,8.0,,,,,
69,3,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,5.0,9.0,8.0,5.0,8.0,,,,,
70,3,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,8.0,6.0,9.0,8.0,6.0,,,,,
71,3,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,6.0,8.0,10.0,8.0,10.0,,,,,
72,3,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,9.0,8.0,8.0,8.0,,,,,
73,3,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,7.0,7.0,7.0,8.0,8.0,,,,,
74,3,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0,7.0,9.0,8.0,9.0,7.0,,,,,
75,3,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,,,,,
76,4,1.0,7.0,6.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,4.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,8.0,6.0,4.0,,,,,
77,4,7.0,1.0,10.0,9.0,9.0,9.0,8.0,3.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,7.0,9.0,6.0,8.0,8.0,8.0,8.0,,,,,
78,4,5.0,1.0,7.0,7.0,9.0,5.0,9.0,1.0,3.0,9.0,3.0,9.0,9.0,9.0,7.0,5.0,10.0,3.0,10.0,8.0,3.0,8.0,,,,,
79,4,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,7.0,9.0,7.0,8.0,7.0,,,,,
80,4,8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,8.0,8.0,8.0,8.0,8.0,,,,,
81,4,6.0,2.0,7.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,4.0,8.0,7.0,7.0,8.0,7.0,,,,,
82,4,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,9.0,8.0,8.0,7.0,,,,,
83,4,5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,5.0,9.0,5.0,9.0,5.0,,,,,
84,4,7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,9.0,10.0,9.0,9.0,5.0,5.0,7.0,9.0,8.0,7.0,5.0,,,,,
85,4,2.0,3.0,4.0,9.0,8.0,6.0,8.0,4.0,7.0,8.0,4.0,6.0,7.0,5.0,8.0,5.0,3.0,7.0,9.0,8.0,9.0,9.0,,,,,
86,4,2.0,2.0,1.0,4.0,7.0,7.0,2.0,1.0,6.0,4.0,7.0,5.0,10.0,10.0,10.0,2.0,2.0,7.0,9.0,9.0,9.0,4.0,,,,,
87,4,10.0,5.0,10.0,8.0,7.0,7.0,8.0,4.0,9.0,9.0,6.0,7.0,10.0,9.0,10.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,
88,4,8.0,7.0,10.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,,,,,
89,4,2.0,2.0,2.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,1.0,9.0,8.0,8.0,9.0,4.0,2.0,8.0,9.0,9.0,8.0,10.0,,,,,
90,4,8.0,9.0,6.0,5.0,8.0,9.0,6.0,3.0,1.0,10.0,6.0,7.0,8.0,7.0,6.0,4.0,1.0,5.0,8.0,7.0,5.0,5.0,,,,,
91,4,4.0,2.0,5.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,10.0,8.0,8.0,7.0,6.0,2.0,6.0,7.0,9.0,7.0,8.0,,,,,
92,4,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,10.0,6.0,9.0,9.0,10.0,9.0,9.0,9.0,,,,,
93,4,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,,,,,
94,4,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,6.0,9.0,9.0,9.0,7.0,,,,,
95,4,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,7.0,9.0,10.0,8.0,7.0,,,,,
96,4,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,7.0,9.0,9.0,9.0,9.0,,,,,
97,4,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0,7.0,5.0,6.0,7.0,6.0,,,,,
98,4,8.0,8.0,8.0,7.0,3.0,3.0,5.0,1.0,7.0,7.0,3.0,7.0,8.0,6.0,8.0,2.0,7.0,8.0,8.0,8.0,8.0,8.0,,,,,
99,4,5.0,5.0,5.0,8.0,10.0,10.0,5.0,5.0,9.0,6.0,6.0,10.0,10.0,10.0,10.0,8.0,5.0,10.0,10.0,10.0,10.0,8.0,,,,,
100,4,5.0,4.0,6.0,7.0,6.0,6.0,2.0,2.0,4.0,6.0,5.0,7.0,7.0,3.0,7.0,6.0,2.0,7.0,8.0,9.0,8.0,6.0,,,,,
101,4,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,8.0,8.0,9.0,8.0,9.0,,,,,
102,4,9.0,9.0,9.0,9.0,4.0,4.0,7.0,2.0,5.0,5.0,4.0,4.0,9.0,3.0,5.0,5.0,2.0,8.0,5.0,10.0,7.0,9.0,,,,,
103,4,8.0,7.0,8.0,8.0,6.0,4.0,8.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,6.0,3.0,8.0,8.0,9.0,8.0,9.0,,,,,
104,4,8.0,3.0,8.0,9.0,8.0,8.0,9.0,5.0,8.0,7.0,3.0,8.0,7.0,6.0,8.0,3.0,7.0,9.0,8.0,9.0,7.0,9.0,,,,,
105,4,9.0,9.0,6.0,8.0,5.0,5.0,3.0,4.0,7.0,8.0,6.0,6.0,7.0,4.0,7.0,5.0,5.0,8.0,7.0,8.0,9.0,6.0,,,,,
106,4,2.0,4.0,2.0,9.0,6.0,5.0,4.0,9.0,2.0,9.0,8.0,7.0,9.0,2.0,8.0,5.0,3.0,4.0,7.0,9.0,3.0,2.0,,,,,
107,4,7.0,2.0,4.0,7.0,6.0,7.0,8.0,1.0,7.0,7.0,1.0,5.0,7.0,9.0,9.0,1.0,10.0,7.0,9.0,9.0,9.0,6.0,,,,,
108,4,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,4.0,8.0,7.0,3.0,2.0,,,,,
109,4,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,6.0,9.0,9.0,8.0,8.0,,,,,
110,4,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,7.0,9.0,8.0,8.0,7.0,,,,,
111,4,9.0,9.0,7.0,9.0,10.0,9.0,9.0,1.0,5.0,9.0,5.0,8.0,9.0,8.0,5.0,3.0,5.0,5.0,8.0,8.0,5.0,5.0,,,,,
112,5,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,9.0,10.0,9.0,9.0,9.0,,,,,
113,5,5.0,3.0,7.0,10.0,9.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,8.0,10.0,8.0,10.0,9.0,,,,,
114,5,6.0,8.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,6.0,7.0,6.0,9.0,2.0,2.0,7.0,9.0,6.0,8.0,7.0,,,,,
115,5,2.0,2.0,8.0,7.0,3.0,3.0,1.0,1.0,8.0,10.0,2.0,2.0,6.0,4.0,7.0,8.0,1.0,8.0,7.0,9.0,8.0,8.0,,,,,
116,5,5.0,4.0,3.0,10.0,10.0,10.0,6.0,4.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,,,,,
117,5,6.0,8.0,6.0,9.0,8.0,6.0,3.0,5.0,8.0,8.0,5.0,6.0,5.0,6.0,5.0,9.0,3.0,8.0,7.0,8.0,8.0,8.0,,,,,
119,5,8.0,5.0,8.0,9.0,9.0,9.0,5.0,8.0,10.0,9.0,5.0,10.0,9.0,10.0,10.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,,,,,
120,5,5.0,4.0,4.0,8.0,7.0,5.0,3.0,1.0,5.0,10.0,6.0,10.0,9.0,6.0,8.0,3.0,5.0,6.0,8.0,8.0,8.0,9.0,,,,,
