airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay
DFW,2011,318711,317906,0.7924,0.7541,0.8304,12.2,14.35,3.26,14.56,1.9,3.32,2.86,11.05
DFW,2012,319889,319208,0.7913,0.7512,0.8234,12.3,14.46,3.38,14.7,2,3.64,2.97,11.6
DFW,2013,333290,331439,0.7457,0.6982,0.7884,15.05,14.67,3.57,17.85,2.21,4.21,3.55,13.99
DFW,2014,334660,334397,0.7504,0.699,0.766,14.82,15.01,3.96,17.94,2.62,4.95,4.44,15.98
DTW,2004,252361,250939,0.8091,0.7363,0.8271,10.76,17.39,5,14.41,4.83,2.06,3.54,9.78
DTW,2005,253845,252143,0.7487,0.6651,0.7947,14.04,17.9,5.39,18.32,4.72,2.36,3.28,12.24
DTW,2006,232361,231634,0.7755,0.6902,0.789,12.29,17.89,5.2,16.43,5.16,2.29,3.94,12.27
DTW,2007,228892,226666,0.7778,0.6483,0.7485,12.88,20.08,7.04,19.11,4.88,3.73,5,15.31
DTW,2008,226840,225224,0.7995,0.7105,0.8029,11.99,19.78,5.65,16.63,4.27,2.88,3.51,12.53
DTW,2009,211239,210518,0.8311,0.7286,0.8224,9.85,20.08,6.06,14.68,4.24,2.55,3.27,10.62
DTW,2010,221903,220623,0.7825,0.6769,0.788,12.93,20.03,6.09,17.98,4.72,2.89,3.48,12.77
DTW,2011,216449,216041,0.792,0.7427,0.8157,12.56,17.55,3.25,14.95,4.74,0.92,2.15,11.07
DTW,2012,208723,208264,0.8052,0.7585,0.843,12.2,17.33,3.16,14.47,3.96,0.85,1.74,9.8
DTW,2013,207053,206364,0.819,0.7171,0.824,11.94,19.89,6.08,16.78,4.23,1.32,2.61,11.85
DTW,2014,192007,192080,0.8045,0.7477,0.8217,12.54,17.47,3.72,15.45,4.12,0.89,2.27,11.64
EWR,2004,212226,209575,0.7921,0.5698,0.7147,12.87,25.93,12.73,23.59,5.93,2.21,6.04,18.54
EWR,2005,211790,209551,0.7421,0.5255,0.6528,16.02,25.96,12.31,26.62,6.22,2.63,7.52,23.18
EWR,2006,214805,213118,0.7189,0.4525,0.6383,18.07,29.13,15.42,31.8,6.21,2.65,7.25,24.79
EWR,2007,209019,207435,0.6903,0.4335,0.618,21.24,28.74,15.22,35.34,5.49,2.8,6.89,27.78
EWR,2008,207145,206270,0.7034,0.4371,0.6404,20.24,28.98,15.63,34.57,4.83,3.18,5.64,26.55
EWR,2009,196298,195150,0.7408,0.4957,0.6701,17.99,25.74,13.09,29.7,4.66,2.15,5.12,24.88
EWR,2010,192614,191370,0.754,0.61,0.7203,16.22,20.94,8.1,23.19,4.11,1.96,4.1,19.37
EWR,2011,192879,191645,0.7318,0.5873,0.669,17.77,20.99,8.49,25.08,4.85,2.54,5.14,22.32
EWR,2012,196105,195110,0.7217,0.5716,0.7009,18.06,21.33,8.71,25.66,3.9,2.86,3.61,19.91
EWR,2013,196365,194358,0.7264,0.5815,0.7095,18.13,20.91,8.41,25.53,3.54,2.51,3.46,20.23
EWR,2014,189545,188206,0.7211,0.573,0.7153,17.96,20.68,8.37,25.46,3.86,2.72,3.15,19.63
FLL,2004,106389,106749,0.7699,0.7044,0.7454,13.27,16.27,4.67,16.89,3.5,0.93,3.83,14.38
FLL,2005,121481,120277,0.7194,0.6436,0.7197,16.6,16.78,5.4,20.96,3.67,1.2,4.13,16.34
FLL,2006,111601,110317,0.7736,0.7279,0.7762,13.13,15.28,3.83,15.92,3.58,1.04,3.22,12.77
FLL,2007,117119,116401,0.7411,0.6724,0.7247,15.62,15.72,4.45,19.4,2.56,1.24,3.68,16.31
FLL,2008,113379,112391,0.755,0.6863,0.7326,15.67,16.59,4.77,19.63,2.8,1.21,4.13,16.04
FLL,2009,102633,101149,0.7687,0.7213,0.7719,14.02,15.75,3.68,16.81,2.95,1.29,3.67,13.33
FLL,2010,104078,102652,0.772,0.7276,0.7713,14.17,15.13,3.24,16.71,3.04,1.06,3.21,13.67
FLL,2011,104576,103097,0.7665,0.7049,0.7647,14.5,15.87,4.16,17.8,2.08,1.12,3.46,14.28
FLL,2012,106550,106006,0.7756,0.7149,0.7693,15.41,16.12,4.3,18.71,2.06,0.93,3.27,14.17
FLL,2013,104830,104066,0.7426,0.6766,0.7342,16.57,16.74,4.47,20.12,2.26,1.15,3.9,16.12
FLL,2014,106272,105742,0.729,0.6799,0.7434,16.55,15.94,3.58,19.36,2.43,1.21,3.88,15.53
GYY,2004,261,259,0.5556,0.5939,0.5985,22.3,9.11,0,21.11,4.83,0,4.07,22.46
GYY,2005,796,802,0.6055,0.6256,0.5324,17.7,9.4,0.05,16.83,3.04,0.01,3.24,24.43
GYY,2006,435,433,0.5425,0.5494,0.5104,20.28,10.23,0.05,19.94,4.99,0,4.99,25.06
GYY,2007,703,691,0.5889,0.5875,0.5253,22.39,11.03,0.06,22.42,4.41,0,4.58,23.96
GYY,2008,425,446,0.6094,0.6071,0.5852,21.96,11.15,0.09,22.02,3.44,0,3.47,20.1
GYY,2009,367,356,0.5232,0.5313,0.4972,25.3,11.11,0.07,25.27,4.23,0,3.9,25.58
GYY,2010,432,444,0.4907,0.4907,0.4932,27.3,11.16,0.11,27.41,3.84,0,3.44,24.7
GYY,2011,499,530,0.6012,0.5972,0.5736,19.05,11.13,0.09,19.18,3.47,0,2.57,22.69
GYY,2012,716,738,0.6131,0.6103,0.584,21.06,11.12,0.09,21.26,3.3,0,2.72,21.5
GYY,2013,519,540,0.5511,0.5472,0.6704,23.26,11.29,0.24,23.91,2.64,0,2.89,15.17
GYY,2014,729,752,0.5857,0.561,0.5505,22.02,11.57,0.33,22.93,3.12,0,3.59,23.08
HNL,2004,92661,91206,0.8673,0.8664,0.836,11.26,14.96,1.17,11.37,3.51,0.86,4.15,10.69
HNL,2005,97359,95239,0.8672,0.8734,0.8282,10.75,12.79,0.8,10.5,2.73,1.65,3.68,10.19
HNL,2006,101458,100974,0.8861,0.879,0.8495,7.2,12.37,1.63,7.75,2.59,0.87,3.47,8.55
HNL,2007,102986,111266,0.8858,0.8823,0.8633,7.77,11.93,1.36,8.11,2.38,0.81,2.95,9.14
HNL,2008,91217,100500,0.8652,0.8433,0.8411,8.23,11.9,2.02,9.48,2.11,1.25,3.56,10
HNL,2009,90128,91124,0.8678,0.8394,0.8452,7.5,12.35,2.25,8.95,1.88,1.47,4.24,9.04
HNL,2010,83392,83811,0.8789,0.8535,0.8461,6.95,12.65,2.26,8.28,1.99,1.62,4.37,8.91
HNL,2011,83128,83426,0.8815,0.8611,0.8678,7,12.66,1.96,8.09,1.79,1.09,3.35,7.99
HNL,2012,88261,88228,0.8791,0.8523,0.8629,7.32,13,2.24,8.67,1.49,1.32,3.22,8
HNL,2013,87945,87896,0.8734,0.8479,0.8504,7.96,13.32,2.27,9.3,1.64,1.3,3.28,9.23
HNL,2014,90752,88621,0.8882,0.86,0.8577,6.45,13.52,2.31,7.84,1.91,1.17,3.5,8.22
HOU,2004,65315,65458,0.728,0.7156,0.7639,13.61,8.95,2.26,15.34,5.35,0.92,2.58,12.23
HOU,2005,62927,62981,0.7235,0.7055,0.7628,13.98,9.38,2.52,16.17,5.45,1.05,2.48,12.48
HOU,2006,63002,62901,0.7085,0.6939,0.7515,15.18,8.69,1.68,16.5,5.25,1.09,2.46,13.16
HOU,2007,64971,64877,0.7014,0.6714,0.7303,16.37,9.25,2.42,18.35,5.5,1.21,2.93,14.8
HOU,2008,62474,62377,0.7152,0.6879,0.75,15.53,9.39,2.41,17.36,4.13,1.3,2.61,13.83
HOU,2009,59009,59006,0.7383,0.7209,0.7915,14.27,8.92,1.73,15.48,2.41,1.5,2,11.13
HOU,2010,58084,58176,0.6841,0.6558,0.7649,16.07,9.29,2.16,17.73,1.86,1.86,2.16,12.07
HOU,2011,60853,60660,0.7082,0.6824,0.779,15.4,9.03,1.8,16.83,1.37,1.46,1.93,12.07
HOU,2012,63731,63771,0.7228,0.6964,0.7963,14.35,9.12,1.87,15.88,1.33,1.49,1.92,10.77
HOU,2013,67223,67673,0.6686,0.6321,0.7436,16.24,9.41,2.16,18.16,1.29,1.71,2.46,13.19
HOU,2014,68319,68348,0.6526,0.6237,0.7159,18.51,9.72,2.3,20.22,2.11,1.73,3,15.8
HPN,2004,34104,33880,0.6116,0.5583,0.5732,20.8,14.22,4.88,24.1,4.3,1.73,5.73,22.43
HPN,2005,33059,32858,0.5622,0.5171,0.5604,23.28,13.01,3.84,25.76,4.01,1.45,5.02,23.6
HPN,2006,31937,32086,0.5494,0.5159,0.55,23.3,14.4,3.48,25.65,4.17,1.85,5.17,24.01
HPN,2007,35911,36118,0.5299,0.4612,0.5136,25.84,16.01,5.23,30.62,4.67,3.07,6.97,27.16
HPN,2008,31907,32126,0.5768,0.5266,0.5896,22.72,15.43,3.93,26,4.68,1.13,4.56,23.18
HPN,2009,27647,27642,0.6116,0.5824,0.6245,20.39,13.84,2.44,22.14,3.96,0.83,4.15,20.54
HPN,2010,30180,30438,0.6084,0.5779,0.6159,20.5,13.17,2.45,22.38,3.63,0.92,4.55,20.77
HPN,2011,30813,31566,0.5993,0.5731,0.5965,21.64,12.73,2.39,23.32,3.87,1.2,4.67,22.31
HPN,2012,31387,32243,0.6036,0.5851,0.6174,19.91,12.05,1.77,21.07,3.71,0.94,4.01,20.23
HPN,2013,30725,31431,0.5824,0.53,0.5891,21.07,13.36,3.33,24.31,3.22,0.74,4.14,21.72
HPN,2014,30230,30777,0.5837,0.5233,0.5846,21.29,13.75,3.53,24.89,3.39,0.99,4.6,22.3
IAD,2004,212945,215986,0.7261,0.6179,0.7484,15.71,18.82,7.17,21.45,5.05,1.28,3.79,15.09
IAD,2005,233140,236001,0.7425,0.6573,0.7632,15.07,18.64,5.8,19.41,4.38,1.75,3.57,14.15
IAD,2006,169691,172953,0.7311,0.6822,0.7441,16.89,17.16,4.23,19.91,4.36,1.93,3.28,15.84
IAD,2007,171679,173013,0.7147,0.6361,0.7193,17.92,18.06,5.34,22.55,4.73,1.83,3.67,17.52
IAD,2008,164378,164798,0.7155,0.6368,0.7327,18.33,17.92,4.99,22.68,4.19,1.35,3.11,17.04
IAD,2009,156324,155395,0.7718,0.7197,0.7876,14.57,16.72,3.78,17.53,3.8,1.49,2.74,12.74
IAD,2010,155124,154841,0.7742,0.7211,0.7804,14.33,16,3.72,17.29,3.02,1.38,2.71,13.36
IAD,2011,152047,151481,0.7477,0.6884,0.7527,16.59,16.04,4.04,20.01,3.03,1.59,3.34,15.34
IAD,2012,143837,143568,0.7412,0.6805,0.7634,16.25,15.66,3.77,19.45,2.48,1.37,2.49,14.45
IAD,2013,141951,141085,0.7262,0.6559,0.7421,17.29,16.28,4.42,21.13,2.44,1.49,2.76,15.92
IAD,2014,134578,133877,0.6957,0.6266,0.723,19.34,15.94,3.85,23.11,2.78,1.49,3.05,17.66
IAH,2004,247146,246368,0.8607,0.6809,0.8084,8.39,21.45,9.56,16.32,3.37,3.81,5.42,11.19
IAH,2005,271941,269537,0.8442,0.7184,0.8178,9.05,20.32,7.34,14.84,3.53,2.32,4.75,10.7
IAH,2006,291421,289276,0.7952,0.6599,0.7757,12.51,21.28,7.67,18.86,3.53,3.21,5.41,13.91
IAH,2007,291242,290346,0.786,0.6935,0.7757,13.19,19.69,5.73,18.14,3.47,2.9,4.4,14.45
IAH,2008,278764,278546,0.8003,0.7205,0.7854,12.2,18.07,5,16.37,3.54,2.42,4.23,14.04
IAH,2009,261290,261184,0.8416,0.7503,0.8127,9.42,17.48,5.36,13.79,2.96,2.29,4.3,11.34
IAH,2010,257236,256761,0.8211,0.7483,0.8066,10.37,16.05,4.26,13.73,2.66,1.99,4.48,11.27
IAH,2011,254998,254038,0.8034,0.7179,0.7943,11.6,16.52,4.84,15.52,2.44,2.26,3.94,12.38
IAH,2012,247043,246118,0.7671,0.674,0.7915,14.18,16.44,5.12,18.43,2.07,2.41,3.09,13.28
IAH,2013,241954,242330,0.7753,0.7058,0.7929,13.62,15.93,4.37,17.05,1.71,2.2,3.08,13.06
IAH,2014,245284,245369,0.754,0.6729,0.7649,14.92,16.62,4.98,18.98,2.65,2.57,3.79,15.19
IND,2004,86320,86866,0.7792,0.7424,0.7445,12.28,12.98,3.18,14.49,2.97,1.35,4.43,13.98
IND,2005,92901,93187,0.7605,0.7179,0.737,13.27,13.21,3.57,15.64,3.12,1.74,5.02,14.75
IND,2006,87866,87860,0.7781,0.7396,0.7379,12.62,13.39,3.18,14.74,2.95,1.64,4.71,14.4
IND,2007,85550,85626,0.7714,0.7229,0.708,13.65,14.19,3.69,16.55,3.27,2.34,5.08,16.83
IND,2008,84243,84597,0.7975,0.7502,0.7633,12.14,14.14,3.49,14.85,3.19,1.33,3.95,13.51
IND,2009,74138,74235,0.8193,0.7832,0.8183,10.92,13.12,2.67,12.95,2.92,0.46,2.99,10.27
IND,2010,71636,71856,0.7958,0.7501,0.7974,11.77,13.16,3.05,14.12,2.85,0.46,3,11.43
IND,2011,68885,68918,0.7856,0.7603,0.784,12.53,12.19,2.02,13.93,2.63,0.78,2.89,12.35
IND,2012,68311,68266,0.8098,0.7831,0.8027,11.2,12.05,1.86,12.52,2.16,0.81,2.46,10.92
IND,2013,67136,66993,0.7664,0.7252,0.7706,13.89,12.77,2.78,16.18,2.04,1.02,2.84,13.29
IND,2014,66542,66383,0.7231,0.6907,0.7524,15.78,12.8,2.5,17.63,2.06,1.18,3.07,14.49
ISP,2004,4045,4061,0.84,0.8156,0.7956,8.27,10.04,2.73,10.6,3.06,1.09,2.52,10.56
ISP,2005,17364,17291,0.8102,0.7899,0.792,10.45,9.84,2.58,12.45,3.17,1.02,2.31,11.34
ISP,2006,15706,15641,0.8008,0.7945,0.7896,11.63,8.59,1.33,12.39,3.62,0.59,2.11,11.93
ISP,2007,15214,15170,0.8096,0.7861,0.7713,11.49,8.91,1.8,12.99,3.72,0.67,2.14,13.55
ISP,2008,13736,12677,0.8058,0.7879,0.7726,11.95,8.6,1.55,13.02,2.28,0.76,1.98,13.43
ISP,2009,10590,10593,0.8155,0.7973,0.7861,10.74,8.4,1.36,11.66,1.75,0.81,1.9,11.73
ISP,2010,9856,9770,0.7876,0.767,0.7407,11.42,8.55,1.57,12.71,1.75,0.61,2.12,13.92
ISP,2011,9556,9546,0.8036,0.7882,0.763,12.66,8.64,1.51,13.8,1.42,0.5,1.89,15.37
ISP,2012,8716,8710,0.7868,0.7728,0.754,13.61,8.38,1.22,14.57,1.23,0.45,1.97,15.33
ISP,2013,8344,8291,0.7572,0.7285,0.7059,13.38,8.61,1.4,14.73,1.27,0.42,2.57,16.9
ISP,2014,7816,7776,0.7238,0.7033,0.6817,17.02,9.08,1.56,18.18,1.26,0.46,2.6,19.89
JAX,2004,11321,11447,0.7824,0.7584,0.7496,11.9,11.64,2.5,13.57,1.55,0.7,2.23,13.15
JAX,2005,46410,46695,0.777,0.7525,0.739,12.67,11.76,2.65,14.53,1.69,1.04,3.01,14.12
JAX,2006,45885,46065,0.7822,0.7587,0.7469,12.35,11.88,2.44,14.05,1.5,1.01,2.85,13.68
JAX,2007,48344,48598,0.7744,0.7407,0.7117,13.44,12.76,3.02,15.64,1.37,1.48,3.45,15.88
JAX,2008,43779,44043,0.7964,0.7701,0.7487,12.5,12.69,2.65,14.28,1.44,0.94,3.59,14.34
JAX,2009,38246,38209,0.8212,0.7858,0.7799,10.76,12.97,2.97,12.78,1.28,0.89,3.14,12.04
JAX,2010,37272,37361,0.8334,0.8011,0.7832,9.92,12.66,2.68,11.57,1.15,0.87,2.65,11.9
JAX,2011,38130,38079,0.822,0.8009,0.7781,10.98,12.32,2.22,12.26,1.19,0.81,2.78,12.45
JAX,2012,34150,34070,0.8279,0.8054,0.7868,10.71,12.44,2.21,11.99,1.1,1.04,2.42,12.28
JAX,2013,34562,34417,0.7957,0.7692,0.7514,12.73,12.64,2.34,14.16,1.26,1.15,2.72,14.29
JAX,2014,35084,35010,0.7868,0.7596,0.7414,13.32,12.7,2.19,14.77,2.11,0.85,3.09,14.92
JFK,2004,151115,148127,0.7543,0.6028,0.7461,15.07,23.79,8.75,22.43,3.64,2.95,4.65,14.91
JFK,2005,164971,162914,0.7133,0.5107,0.6936,17.38,27.58,12.17,27.8,4.4,3.9,5.72,18.4
JFK,2006,180139,178673,0.7182,0.4423,0.6704,18.44,32.94,17.12,33.84,4.7,3.35,5.99,20.65
JFK,2007,210060,209898,0.6688,0.3808,0.6298,22.68,35.76,18.94,40.51,6.63,4.01,7.21,24.92
JFK,2008,208347,207144,0.7343,0.5042,0.667,18.44,33.31,14.31,31.57,6.38,3.93,6.34,22.66
JFK,2009,201184,199397,0.7784,0.5814,0.7249,14.42,31.07,11.98,25.05,5.69,3.63,5.04,17.71
JFK,2010,192101,190038,0.7348,0.57,0.739,17.87,28.7,10.1,26.98,5.09,3.74,4.32,17.39
JFK,2011,197805,196354,0.7393,0.5989,0.7407,17.29,25.98,8.5,24.82,5.16,2.55,3.82,17.21
JFK,2012,194788,193893,0.7697,0.6409,0.7819,14.83,24.98,7.55,21.27,4.32,2.02,2.97,13.89
JFK,2013,196105,193781,0.7457,0.6038,0.7375,16.09,25.53,8.61,23.64,4.21,2.38,3.88,16.85
JFK,2014,206239,205660,0.7373,0.5878,0.7344,16.64,25.1,8.04,23.83,4.69,2.61,4.05,17.23
LAS,2004,196424,196144,0.7609,0.6589,0.7631,12.72,16.2,5.89,17.67,2.38,1.51,3.29,13.28
LAS,2005,212089,212329,0.741,0.6581,0.7621,13.41,15.39,4.69,17.3,2.19,1.77,3.09,12.99
LAS,2006,216984,217891,0.737,0.6255,0.7433,13.78,16.45,6,18.81,2.16,1.8,3.66,13.76
LAS,2007,223643,225495,0.7447,0.6177,0.7494,13.81,16.9,6.56,19.42,2.29,2.01,3.4,13.79
LAS,2008,207552,208196,0.762,0.6664,0.7586,13.95,16.28,5.65,18.58,2.24,1.7,3.63,13.92
LAS,2009,183201,183116,0.7923,0.7356,0.8069,11.31,14.47,3.94,14.28,1.76,1.53,2.71,10.42
LAS,2010,174475,174562,0.7742,0.7168,0.8008,12.32,14.14,3.87,15.26,1.61,1.57,2.24,10.79
LAS,2011,181828,181770,0.775,0.7176,0.7955,12.37,14.26,3.79,15.27,1.57,1.59,2.56,11.14
LAS,2012,179153,180035,0.7802,0.7286,0.8051,12.47,13.93,3.5,15.13,1.47,2.1,2.34,10.84
LAS,2013,177409,179793,0.7477,0.6901,0.7771,14.46,13.99,3.62,17.37,1.29,1.73,2.66,12.84
LAS,2014,181578,181929,0.7394,0.6887,0.7643,14.77,13.61,3.35,17.47,1.71,1.77,2.89,13.47
LAX,2004,307973,307061,0.8144,0.7604,0.8093,10.17,14.08,4.1,13.22,3.03,2.41,3.52,10.47
LAX,2005,306439,306044,0.801,0.7546,0.7923,10.55,13.9,3.72,13.22,3.02,2.37,3.54,11.22
LAX,2006,306821,306201,0.7819,0.7213,0.7561,11.81,14.82,4.36,15,3.18,2.93,4.11,13.23
LAX,2007,316257,316715,0.777,0.6992,0.7501,12.42,15.71,4.81,16.24,3.19,3.58,4.05,14.09
LAX,2008,293640,294144,0.7942,0.7478,0.7675,12.15,14.82,3.37,14.62,3.07,2.69,3.93,13.51
LAX,2009,262782,262838,0.833,0.8032,0.8153,9.95,13.68,2.63,11.65,2.75,2.15,2.77,10.83
LAX,2010,269895,270550,0.8106,0.7674,0.7992,11.27,14.09,3.22,13.57,2.65,2.97,2.92,11.59
LAX,2011,284127,284618,0.8082,0.7493,0.7809,11.02,14.86,3.96,14.02,2.77,3.31,3.63,12.32
LAX,2012,284637,285252,0.8022,0.7334,0.7884,11.55,15.39,4.44,14.95,2.47,4,3.12,12.14
LAX,2013,288214,288965,0.8001,0.7435,0.7844,11.69,15.21,3.98,14.58,2.33,3.53,3.17,12.66
LAX,2014,303156,302628,0.7681,0.7048,0.7652,13.32,15.44,4.09,16.46,2.64,3.9,3.63,13.99
LGA,2004,196421,196310,0.7963,0.621,0.7518,12.44,23.28,10.18,20.77,5.29,2.42,4.57,15.47
LGA,2005,196606,196474,0.7429,0.569,0.6829,16.09,22.44,10.35,24.55,5.73,2.41,5.67,20.41
LGA,2006,196274,196378,0.7398,0.5213,0.6671,16.55,25.75,13,27.64,5.97,2.39,5.99,21.05
LGA,2007,191343,191847,0.7004,0.4267,0.6109,19.48,27.32,15,33.26,6.93,2.56,6.84,25
LGA,2008,186037,186204,0.7458,0.4705,0.6572,16.86,27.03,14.71,30.04,7.28,2.43,5.96,22.23
LGA,2009,174192,174054,0.79,0.572,0.7178,13.77,24.42,11.96,24.08,7.01,1.89,4.73,18.38
LGA,2010,178701,178938,0.7996,0.5804,0.7617,12.95,24.42,11.53,22.85,5.83,2.35,3.62,14.95
LGA,2011,180288,180945,0.7639,0.5437,0.7373,15.96,24.68,11.67,26.25,6.14,1.96,3.54,17.7
LGA,2012,181426,182054,0.804,0.5906,0.7814,12.82,23.97,10.98,22.33,5.13,2.25,2.97,14.19
LGA,2013,182284,181998,0.7698,0.5486,0.746,15.72,24.43,11.25,25.84,5.25,2.24,3.28,17.29
LGA,2014,180282,180537,0.7599,0.5318,0.7498,15.75,24.61,11.21,25.92,4.79,2.34,3.19,16.47
LGB,2004,3663,3749,0.8438,0.8329,0.7437,8.82,12.35,1.96,9.81,1.98,0.63,4.15,12.79
LGB,2005,15607,15858,0.8484,0.8274,0.7743,8.24,12.48,2.29,9.57,1.59,0.82,3.25,11.52
LGB,2006,15360,16113,0.8435,0.8121,0.7752,8.66,13.68,3.01,10.65,1.71,0.78,4.2,11.26
LGB,2007,16866,17042,0.8255,0.7819,0.7832,9.67,15.3,3.79,12.19,2.02,1.39,4.06,11.9
LGB,2008,17722,17958,0.8261,0.8062,0.7886,10.59,14.45,2.46,11.97,2.26,1.72,4.49,12.59
LGB,2009,16686,16753,0.8676,0.8544,0.8367,7.68,13.56,2.14,8.72,2.14,1.19,3.34,9.05
LGB,2010,16764,16706,0.8193,0.7895,0.824,10.85,14.17,2.88,12.79,2.36,1.47,3.11,10.48
LGB,2011,16578,16559,0.8351,0.8176,0.8283,10.04,13.38,2.23,11.24,2.73,0.86,2.69,10.17
LGB,2012,15954,15899,0.8441,0.8343,0.8496,9.72,12.57,1.81,10.49,2.26,0.6,2.22,9.25
LGB,2013,14945,15163,0.8599,0.8462,0.8432,8.51,12.63,2.03,9.49,2.19,0.63,2.37,9.17
LGB,2014,14641,14736,0.8434,0.8288,0.832,9.26,12.5,1.86,10.14,2.37,0.63,2.37,9.71
MCI,2004,79314,79750,0.8214,0.7974,0.775,10.05,11.1,2.74,11.96,3.05,0.84,3.13,12.41
MCI,2005,78603,79179,0.8126,0.7882,0.7634,10.72,11.06,2.65,12.64,2.82,0.99,2.91,13.16
MCI,2006,80635,81982,0.7984,0.7765,0.7451,11.99,10.99,2.34,13.53,2.72,0.98,3.43,14.09
MCI,2007,92612,92916,0.7823,0.7447,0.7376,13.22,11.97,3.08,15.54,2.97,1.31,3.85,15.03
MCI,2008,83948,84279,0.7933,0.7669,0.7476,12.93,11.57,2.44,14.56,2.69,1.04,3.62,14.31
MCI,2009,71385,71498,0.8298,0.7994,0.793,10.61,11.89,2.8,12.56,2.76,1.19,2.98,11.54
MCI,2010,68953,69136,0.8147,0.7874,0.7975,11.24,11.46,2.42,12.81,2.76,1.06,2.56,11.46
MCI,2011,68122,68087,0.7992,0.7767,0.7844,12.58,11.28,2.21,13.89,2.56,0.96,2.6,12.63
MCI,2012,64377,64185,0.8309,0.8145,0.8101,10.81,10.89,1.89,11.82,1.78,0.89,1.91,11.22
MCI,2013,62289,62112,0.795,0.7622,0.7621,12.69,11.61,2.84,14.59,1.79,1.07,2.59,14.05
MCI,2014,61417,61249,0.7732,0.7443,0.7472,14.14,11.26,2.36,15.73,2.17,1.04,2.72,15.21
MCO,2004,150156,150352,0.8138,0.7698,0.7847,10.76,13.83,3.74,13.62,2.42,1.45,3.42,11.94
MCO,2005,166165,166776,0.7837,0.7546,0.7699,12.54,12.95,2.85,14.6,2.74,1.3,3.57,13.07
MCO,2006,164499,164935,0.7929,0.7546,0.7902,12.02,13.03,3.27,14.49,2.83,1.52,3.02,11.99
MCO,2007,170984,171358,0.776,0.7269,0.7575,13.67,13.65,3.99,16.74,3.04,1.81,3.69,14.19
MCO,2008,159897,159942,0.7857,0.7431,0.7661,13.44,13.58,3.67,16.22,1.61,1.73,4.01,13.96
MCO,2009,143712,142660,0.8077,0.7739,0.7967,11.62,12.9,3.1,13.81,1.25,1.9,3.4,11.79
MCO,2010,146894,146304,0.7997,0.758,0.7947,12,13.05,3.44,14.52,1.44,2.15,3.07,11.88
MCO,2011,148493,148527,0.806,0.7627,0.7927,12.3,13.45,3.67,14.98,1.25,2.27,3.34,12.36
