State,Participation,Composite
Alabama,100%,19.1
Alaska,33%,20.8
Arizona,66%,19.2
Arkansas,100%,19.4
California,27%,22.7
Colorado,30%,23.9
Connecticut,26%,25.6
Delaware,17%,23.8
District of columbia,32%,23.6
Florida,66%,19.9
Georgia,53%,21.4
Hawaii,89%,18.9
Idaho,36%,22.3
Illinois,43%,23.9
Indiana,32%,22.5
Iowa,68%,21.8
Kansas,71%,21.6
Kentucky,100%,20.2
Louisiana,100%,19.2
Maine,7%,24
Maine,7%,24
Maryland,31%,22.5
Massachusetts,25%,25.5
Michigan,22%,24.2
Minnesota,99%,21.3
Mississippi,100%,18.6
Missouri,100%,20
Montana,100%,20
Nebraska,100%,20.1
Nevada,100%,17.7
New Hampshire,16%,25.1
New Jersey,31%,23.7
New Mexico,67%,19.4
New York,27%,24.5
North Carolina,100%,19.1
North Dakota,98%,20.3
Ohio,100%,20.3
Oklahoma,100%,19.3
Oregon,42%,21.3
Pennsylvania,20%,23.5
Rhode Island,15%,24.2
South Carolina,100%,18.3
South Dakota,77%,21.9
Tennessee,100%,19.6
Texas,45%,20.7
Utah,100%,20.4
Vermont,24%,24.1
Virginia,24%,23.9
Washington,24%,22.2
West Virginia,65%,20.3
Wisconsin,100%,20.5
Wyoming,100%,20